,masterIncidentNumber,responseDate,reason,problem,callDisposition,citationIssued,personSearch,vehicleSearch,preRace,race,gender,lat,long,x,y,policePrecinct,neighborhood,lastUpdateDate
106783,18-406990,2018/12/13 02:37:30+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.99139695,-93.25119596,-10380675.65,5620167.213,2,Nicollet Island - East Bank,2018/12/13 08:20:40+00
106784,18-406992,2018/12/13 02:38:59+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.94835,-93.27668,-10383512.6,5613394.625,5,Whittier,2018/12/13 08:20:38+00
106785,18-407040,2018/12/13 07:15:09+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,White,Latino,Male,45.00782787,-93.30885218,-10387093.91,5622753.909,4,Jordan,2018/12/14 08:20:37+00
106786,18-407059,2018/12/13 08:06:31+00,,Suspicious Vehicle (P),GOA-Gone on Arrival,,,,,,,44.94837,-93.24033,-10379465.8,5613397.654,3,Corcoran,2018/12/14 08:20:37+00
106787,18-407099,2018/12/13 09:19:15+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,45.02664574,-93.24742513,-10380255.88,5625717.288,2,Waite Park,2018/12/14 08:20:37+00
106788,18-407107,2018/12/13 09:26:02+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,45.02483659,-93.24743156,-10380256.6,5625432.347,2,Audubon Park,2018/12/14 08:20:37+00
106789,18-407123,2018/12/13 09:44:08+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Black,Black,Male,45.01321,-93.30318,-10386462.43,5623601.657,4,Folwell,2018/12/14 08:20:37+00
106790,18-407126,2018/12/13 09:46:49+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,45.02664574,-93.24742513,-10380255.88,5625717.288,2,Waite Park,2018/12/14 08:20:37+00
106791,18-407137,2018/12/13 09:55:05+00,,Suspicious Person (P),GOA-Gone on Arrival,,,,,,,44.95823655,-93.25495377,-10381093.97,5614949.08,3,Midtown Phillips,2018/12/14 08:20:35+00
106792,18-407143,2018/12/13 09:59:45+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Female,45.03469665,-93.2472181,-10380232.84,5626985.419,2,Waite Park,2018/12/14 08:20:37+00
106793,18-407144,2018/12/13 10:00:47+00,,Suspicious Person (P),SNT-Sent,,,,,,,45.01327,-93.30824,-10387025.8,5623610.136,4,Folwell,2018/12/14 08:20:37+00
106794,18-407147,2018/12/13 10:06:00+00,Equipment Violation,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Black,Black,Male,44.9987045,-93.26240584,-10381923.53,5621317.538,2,St. Anthony West,2018/12/14 08:20:35+00
106795,18-407154,2018/12/13 10:13:07+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,45.02671111,-93.24727736,-10380239.43,5625727.585,2,Waite Park,2018/12/14 08:20:37+00
106796,18-407160,2018/12/13 10:23:38+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,45.02664574,-93.24742513,-10380255.88,5625717.288,2,Waite Park,2018/12/14 08:20:37+00
