,masterIncidentNumber,responseDate,reason,problem,callDisposition,citationIssued,personSearch,vehicleSearch,preRace,race,gender,lat,long,x,y,policePrecinct,neighborhood,lastUpdateDate
113676,19-052326,2019/02/22 22:42:36+00,Equipment Violation,Traffic Law Enforcement (P),BKG-Booking,YES,YES,YES,Unknown,East African,Male,44.97021,-93.24725,-10380236.41,5616833.597,1,Cedar Riverside,2019/02/23 08:20:39+00
113677,19-052328,2019/02/22 22:43:55+00,Citizen / 9-1-1,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,44.95822612,-93.2600332,-10381659.41,5614947.439,3,Midtown Phillips,2019/02/23 08:20:39+00
113678,19-052351,2019/02/22 23:08:39+00,Citizen / 9-1-1,Suspicious Person (P),UTL-Unable to Locate,NO,NO,NO,Unknown,Unknown,Unknown,44.92874,-93.32779,-10389202.14,5610310.381,5,Linden Hills,2019/02/23 08:20:39+00
113679,19-052376,2019/02/22 23:32:31+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,44.89374676,-93.2800388,-10383886.42,5604809.57,5,Windom,2019/02/23 08:20:40+00
113680,19-052388,2019/02/22 23:39:21+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,44.96270338,-93.29243141,-10385265.96,5615651.807,5,Lowry Hill,2019/02/23 08:20:38+00
113681,19-052395,2019/02/22 23:55:02+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,44.99870309,-93.26527248,-10382242.64,5621317.316,2,St. Anthony West,2019/02/23 08:20:40+00
113682,19-052396,2019/02/22 23:55:07+00,Investigative,Suspicious Person (P),RPT-Report,NO,NO,NO,Latino,Latino,Male,44.98436,-93.2455,-10380041.5,5619059.841,2,Marcy Holmes,2019/02/23 08:20:39+00
113683,19-052413,2019/02/23 00:14:22+00,Equipment Violation,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Unknown,Black,Female,45.01108,-93.26618,-10382343.49,5623266.156,2,Bottineau,2019/02/23 08:20:39+00
113684,19-052424,2019/02/23 00:25:57+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Female,44.99054729,-93.2512847,-10380685.53,5620033.473,2,Marcy Holmes,2019/02/23 08:20:40+00
113685,19-052440,2019/02/23 00:55:00+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,44.9877132,-93.25227599,-10380795.88,5619587.389,2,Marcy Holmes,2019/02/23 08:20:40+00
113686,19-052456,2019/02/23 01:19:14+00,,Traffic Law Enforcement (P),UTL-Unable to Locate,,,,,,,0,0,0,0,,,2019/02/23 08:20:41+00
113687,19-052460,2019/02/23 01:25:45+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.94131,-93.28817,-10384791.44,5612286.526,5,Lyndale,2019/02/23 08:20:39+00
113688,19-052474,2019/02/23 01:45:30+00,,Traffic Law Enforcement (P),RPT-Report,,,,,,,44.98540621,-93.25135795,-10380693.68,5619224.285,2,Marcy Holmes,2019/02/23 08:20:39+00
113689,19-052482,2019/02/23 01:57:02+00,Citizen / 9-1-1,Suspicious Person (P),RPT-Report,NO,NO,NO,Unknown,Unknown,Male,44.98124,-93.27254,-10383051.67,5618568.839,1,Downtown West,2019/02/23 08:20:39+00
113690,19-052493,2019/02/23 02:10:57+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,45.01542373,-93.2631515,-10382006.53,5623949.963,2,Holland,2019/02/23 08:20:40+00
113691,19-052498,2019/02/23 02:17:24+00,Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,45.01316127,-93.2709171,-10382871,5623593.696,2,Bottineau,2019/02/23 08:20:40+00
113692,19-052503,2019/02/23 02:22:47+00,Investigative,Suspicious Person (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,44.8949328,-93.2781055,-10383671.21,5604995.944,5,Windom,2019/02/23 08:20:39+00
113693,19-052508,2019/02/23 02:24:42+00,Citizen / 9-1-1,Suspicious Vehicle (P),AOK- All OK,NO,NO,NO,Unknown,Unknown,Unknown,44.94213058,-93.28139048,-10384036.89,5612415.727,5,Lyndale,2019/02/23 08:20:39+00
113694,19-052555,2019/02/23 03:56:57+00,Investigative,Suspicious Vehicle (P),ADV-Advised,NO,YES,NO,Unknown,Black,Male,44.98263329,-93.30516814,-10386683.81,5618787.867,4,Harrison,2019/02/23 08:20:40+00
113695,19-052583,2019/02/23 06:56:17+00,Citizen / 9-1-1,Suspicious Vehicle (P),AOK- All OK,NO,NO,NO,Unknown,Unknown,Unknown,44.97304,-93.26625,-10382351.42,5617277.902,1,Elliot Park,2019/02/25 08:20:38+00
113696,19-052601,2019/02/23 08:10:42+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Female,45.00779,-93.30189,-10386319.17,5622748.162,4,Jordan,2019/02/25 08:20:38+00
113697,19-052603,2019/02/23 08:12:13+00,Investigative,Suspicious Vehicle (P),AOK- All OK,NO,NO,NO,Unknown,Unknown,Unknown,44.90508563,-93.28765879,-10384734.67,5606591.517,5,Tangletown,2019/02/25 08:20:39+00
113698,19-052621,2019/02/23 08:50:45+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Latino,Male,44.9756506,-93.2677537,-10382518.85,5617688.986,1,Downtown West,2019/02/25 08:20:39+00
113699,19-052644,2019/02/23 09:35:28+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Native American,Unknown,Male,44.95375,-93.24864,-10380391.57,5614242.753,3,East Phillips,2019/02/25 08:20:38+00
113700,19-052666,2019/02/23 10:16:52+00,Citizen / 9-1-1,Suspicious Vehicle (P),AOK- All OK,NO,NO,NO,Unknown,Black,Male,44.96090284,-93.27591225,-10383427.05,5615368.537,5,Whittier,2019/02/25 08:20:37+00
113701,19-052668,2019/02/23 10:19:19+00,Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,44.97546603,-93.25960587,-10381611.84,5617659.941,1,Downtown East,2019/02/25 08:20:39+00
113702,19-052674,2019/02/23 10:34:19+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Asian,Male,44.99307,-93.30194,-10386324.94,5620430.132,4,Near - North,2019/02/25 08:20:38+00
113703,19-052699,2019/02/23 11:17:03+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,44.95644396,-93.2537008,-10380954.49,5614667.084,3,Midtown Phillips,2019/02/25 08:20:39+00
113704,19-052710,2019/02/23 11:30:49+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,44.98816666,-93.27760082,-10383615.03,5619658.761,1,North Loop,2019/02/25 08:20:39+00
113705,19-052725,2019/02/23 11:43:28+00,Investigative,Suspicious Vehicle (P),INF-Information,NO,NO,NO,Unknown,White,Male,44.91692979,-93.27797416,-10383656.59,5608453.249,5,Tangletown,2019/02/25 08:20:39+00
113706,19-052764,2019/02/23 12:44:05+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,YES,Unknown,Other,Female,44.96986445,-93.25413131,-10381002.41,5616778.507,1,Elliot Park,2019/02/25 08:20:39+00
113707,19-052786,2019/02/23 13:05:07+00,Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,YES,YES,Black,Black,Male,44.98427,-93.30451,-10386610.17,5619045.474,4,Near - North,2019/02/25 08:20:38+00
113708,19-052817,2019/02/23 13:59:03+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Black,Black,Female,44.96269,-93.2664,-10382367.98,5615649.843,3,Ventura Village,2019/02/25 08:20:38+00
113709,19-052841,2019/02/23 14:31:59+00,Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,45.01217,-93.25673,-10381291.14,5623437.181,2,Holland,2019/02/25 08:20:38+00
113710,19-052844,2019/02/23 14:35:01+00,Moving Violation,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Black,Black,Male,44.9188015,-93.2562211,-10381235.05,5608747.489,3,Northrop,2019/02/25 08:20:37+00
113711,19-052852,2019/02/23 14:43:28+00,Equipment Violation,Traffic Law Enforcement (P),RPT-Report,NO,YES,YES,Unknown,Black,Male,44.98609,-93.30702,-10386890.34,5619331.17,4,Near - North,2019/02/25 08:20:38+00
113712,19-052874,2019/02/23 15:09:27+00,Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Black,Latino,Male,44.96889,-93.28807,-10384780.03,5616625.928,5,Loring Park,2019/02/25 08:20:38+00
113713,19-052912,2019/02/23 16:10:04+00,Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,44.94783,-93.32883,-10389317.66,5613312.708,5,West Calhoun,2019/02/25 08:20:38+00
113714,19-052922,2019/02/23 16:23:29+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Other,Unknown,Male,44.92603978,-93.24858381,-10380384.87,5609885.469,3,Northrop,2019/02/25 08:20:37+00
113715,19-052948,2019/02/23 16:59:14+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.94834,-93.27969,-10383847.7,5613391.966,5,Whittier,2019/02/25 08:20:38+00
113716,19-052951,2019/02/23 17:02:06+00,Investigative,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,Black,Female,45.00479846,-93.2273475,-10378020.85,5622276.937,2,Northeast Park,2019/02/25 08:20:39+00
113717,19-052954,2019/02/23 17:08:11+00,Investigative,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,East African,Female,44.94925986,-93.30081561,-10386199.28,5613537.024,5,East Isles,2019/02/25 08:20:39+00
113718,19-052961,2019/02/23 17:16:36+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,44.98735274,-93.25964475,-10381616.17,5619530.654,2,Nicollet Island - East Bank,2019/02/25 08:20:39+00
113719,19-052970,2019/02/23 17:27:21+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,44.98657156,-93.26044339,-10381705.07,5619407.701,2,Nicollet Island - East Bank,2019/02/25 08:20:39+00
113720,19-052979,2019/02/23 17:37:42+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,44.98707924,-93.2589855,-10381542.78,5619487.606,2,Nicollet Island - East Bank,2019/02/25 08:20:39+00
113721,19-052985,2019/02/23 17:42:28+00,Investigative,Suspicious Vehicle (P),INF-Information,NO,NO,NO,Unknown,White,Male,44.95284304,-93.28806046,-10384779.39,5614100.641,5,Whittier,2019/02/25 08:20:39+00
113722,19-053004,2019/02/23 18:02:54+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,45.02771,-93.22814,-10378109.6,5625885.3,2,Waite Park,2019/02/25 08:20:38+00
113723,19-053005,2019/02/23 18:03:07+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,44.98872316,-93.25423627,-10381014.1,5619746.354,2,Nicollet Island - East Bank,2019/02/25 08:20:39+00
113724,19-053007,2019/02/23 18:03:54+00,,Traffic Law Enforcement (P),ADV-Advised,,,,,,,44.9726,-93.21113,-10376215.03,5617208.634,2,Prospect Park - East River Road,2019/02/25 08:20:38+00
113725,19-053012,2019/02/23 18:07:09+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Latino,Male,44.98810131,-93.25454892,-10381048.9,5619648.476,2,Nicollet Island - East Bank,2019/02/25 08:20:39+00
113726,19-053022,2019/02/23 18:12:26+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,45.03568,-93.22693,-10377974.3,5627139.554,2,Waite Park,2019/02/25 08:20:38+00
113727,19-053025,2019/02/23 18:16:18+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,44.98773916,-93.25710591,-10381333.54,5619591.474,2,Nicollet Island - East Bank,2019/02/25 08:20:39+00
113728,19-053026,2019/02/23 18:16:29+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.95914,-93.2473,-10380241.53,5615090.556,3,East Phillips,2019/02/25 08:20:38+00
113729,19-053028,2019/02/23 18:17:59+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Female,45.00926961,-93.26310961,-10382001.87,5622980.915,2,Holland,2019/02/25 08:20:37+00
113730,19-053029,2019/02/23 18:18:37+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,44.97718,-93.2759,-10383425.29,5617929.804,1,Downtown West,2019/02/25 08:20:38+00
113731,19-053030,2019/02/23 18:19:09+00,Investigative,Suspicious Person (P),RPT-Report,NO,NO,NO,Unknown,White,Male,44.99968546,-93.2879891,-10384771.44,5621471.968,4,Hawthorne,2019/02/25 08:20:39+00
113732,19-053044,2019/02/23 18:30:25+00,Investigative,Suspicious Person (P),TRN-Transport,NO,YES,NO,Unknown,White,Male,44.96889,-93.26255,-10381939.12,5616624.626,1,Elliot Park,2019/02/25 08:20:38+00
113733,19-053046,2019/02/23 18:31:07+00,Investigative,Suspicious Person (P),TRN-Transport,NO,YES,NO,Black,Black,Male,44.94835,-93.26394,-10382094.27,5613394.405,3,Central,2019/02/25 08:20:38+00
113734,19-053048,2019/02/23 18:33:24+00,Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Latino,Male,44.99939694,-93.26953264,-10382716.88,5621426.547,2,Sheridan,2019/02/25 08:20:39+00
113735,19-053051,2019/02/23 18:36:56+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,44.98735274,-93.25964475,-10381616.17,5619530.654,2,Nicollet Island - East Bank,2019/02/25 08:20:39+00
113736,19-053052,2019/02/23 18:37:36+00,Investigative,Suspicious Vehicle (P),TOW-Towed,NO,NO,YES,Unknown,Unknown,Unknown,44.9978076,-93.24226637,-10379681.61,5621176.344,2,Beltrami,2019/02/25 08:20:39+00
113737,19-053056,2019/02/23 18:41:11+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,45.01769745,-93.27240803,-10383036.97,5624308.017,2,Marshall Terrace,2019/02/25 08:20:39+00
113738,19-053061,2019/02/23 18:43:45+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,45.02389833,-93.27338765,-10383146.02,5625284.573,2,Marshall Terrace,2019/02/25 08:20:39+00
113739,19-053067,2019/02/23 18:47:25+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Asian,Male,44.98800707,-93.25817703,-10381452.78,5619633.642,2,Nicollet Island - East Bank,2019/02/25 08:20:39+00
113740,19-053070,2019/02/23 18:49:07+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,45.01315891,-93.26949768,-10382712.99,5623593.326,2,Marshall Terrace,2019/02/25 08:20:39+00
113741,19-053079,2019/02/23 18:59:51+00,Equipment Violation,Traffic Law Enforcement (P),BKG-Booking,NO,YES,NO,Unknown,Black,Male,45.00741388,-93.24736822,-10380249.55,5622688.725,2,Windom Park,2019/02/25 08:20:39+00
113742,19-053081,2019/02/23 19:00:06+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Asian,Female,44.98743951,-93.25950176,-10381600.25,5619544.31,2,Nicollet Island - East Bank,2019/02/25 08:20:39+00
113743,19-053101,2019/02/23 19:30:41+00,Investigative,Suspicious Person (P),AOK- All OK,NO,NO,NO,Unknown,White,Male,44.99153714,-93.21832914,-10377016.93,5620189.281,2,Como,2019/02/25 08:20:39+00
113744,19-053103,2019/02/23 19:33:36+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,45.0126671,-93.25551529,-10381156.48,5623515.882,2,Holland,2019/02/25 08:20:39+00
113745,19-053112,2019/02/23 19:43:39+00,Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Latino,Female,45.01310678,-93.28125655,-10384021.98,5623585.116,4,McKinley,2019/02/25 08:20:39+00
113746,19-053118,2019/02/23 19:50:12+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Other,Female,45.01680385,-93.2662127,-10382347.31,5624167.296,2,Marshall Terrace,2019/02/25 08:20:39+00
113747,19-053124,2019/02/23 19:54:47+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Female,44.96269,-93.27149,-10382934.31,5615649.725,5,Whittier,2019/02/25 08:20:38+00
113748,19-053128,2019/02/23 19:56:57+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,45.01678557,-93.26232599,-10381914.64,5624164.417,2,Holland,2019/02/25 08:20:39+00
113749,19-053130,2019/02/23 20:01:10+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,44.98947766,-93.25386381,-10380972.63,5619865.111,2,Nicollet Island - East Bank,2019/02/25 08:20:39+00
113750,19-053136,2019/02/23 20:03:10+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Female,44.99915806,-93.29487623,-10385538.12,5621388.942,4,Jordan,2019/02/25 08:20:39+00
113751,19-053141,2019/02/23 20:06:55+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,45.01317,-93.24224,-10379678.52,5623595.149,2,Windom Park,2019/02/25 08:20:38+00
113752,19-053151,2019/02/23 20:11:11+00,,Traffic Law Enforcement (P),TAG-Tagged,,,,,,,45.01217,-93.26157,-10381830.75,5623438.076,2,Holland,2019/02/25 08:20:38+00
113753,19-053155,2019/02/23 20:14:12+00,,Traffic Law Enforcement (P),RPT-Report,,,,,,,44.98999,-93.25422,-10381011.83,5619945.26,2,Nicollet Island - East Bank,2019/02/25 08:20:38+00
113754,19-053161,2019/02/23 20:21:37+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,44.96272028,-93.25680354,-10381299.88,5615654.466,3,Ventura Village,2019/02/25 08:20:39+00
113755,19-053164,2019/02/23 20:23:22+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,44.98925433,-93.25636308,-10381250.85,5619829.959,2,Nicollet Island - East Bank,2019/02/25 08:20:39+00
113756,19-053169,2019/02/23 20:26:03+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,45.00889238,-93.25246148,-10380816.53,5622921.518,2,Holland,2019/02/25 08:20:39+00
113757,19-053177,2019/02/23 20:31:36+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Asian,Female,44.98425,-93.28859,-10384838.58,5619042.656,4,Sumner - Glenwood,2019/02/25 08:20:38+00
113758,19-053179,2019/02/23 20:32:18+00,Investigative,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,44.99598622,-93.2549785,-10381096.72,5620889.621,2,St. Anthony East,2019/02/25 08:20:39+00
113759,19-053184,2019/02/23 20:35:18+00,,Traffic Law Enforcement (P),ADV-Advised,,,,,,,44.98221898,-93.24171931,-10379620.71,5618722.663,2,Marcy Holmes,2019/02/25 08:20:37+00
113760,19-053186,2019/02/23 20:36:47+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,44.94835,-93.2716,-10382946.59,5613394.42,3,Central,2019/02/25 08:20:38+00
113761,19-053194,2019/02/23 20:42:14+00,,Traffic Law Enforcement (P),TAG-Tagged,,,,,,,44.97949,-93.26266,-10381951.3,5618293.077,1,Downtown West,2019/02/25 08:20:38+00
113762,19-053196,2019/02/23 20:42:23+00,,Traffic Law Enforcement (P),ADV-Advised,,,,,,,44.98247,-93.244,-10379874.9,5618761.798,2,Marcy Holmes,2019/02/25 08:20:38+00
113763,19-053202,2019/02/23 20:51:33+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.99132,-93.22711,-10377994.75,5620155.29,2,Como,2019/02/25 08:20:38+00
113764,19-053203,2019/02/23 20:52:39+00,,Traffic Law Enforcement (P),ADV-Advised,,,,,,,44.97902,-93.2649,-10382201.41,5618219.89,1,Downtown West,2019/02/25 08:20:38+00
113765,19-053207,2019/02/23 20:56:09+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,44.96662,-93.24725,-10380236.49,5616267.36,1,Cedar Riverside,2019/02/25 08:20:38+00
113766,19-053208,2019/02/23 20:56:58+00,,Traffic Law Enforcement (P),TAG-Tagged,,,,,,,44.98119983,-93.23430434,-10378795.28,5618562.269,2,Marcy Holmes,2019/02/25 08:20:37+00
113767,19-053218,2019/02/23 21:02:50+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,44.97534851,-93.25134737,-10380692.5,5617641.449,1,Downtown East,2019/02/25 08:20:39+00
113768,19-053220,2019/02/23 21:04:56+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Native American,Female,44.98246858,-93.26968897,-10382734.28,5618761.945,1,Downtown West,2019/02/25 08:20:39+00
113769,19-053223,2019/02/23 21:06:30+00,Citizen / 9-1-1,Suspicious Vehicle (P),UNF-Unfounded,NO,NO,NO,Unknown,Unknown,Unknown,44.96848547,-93.26765708,-10382508.09,5616561.532,1,Elliot Park,2019/02/25 08:20:37+00
113770,19-053225,2019/02/23 21:07:03+00,Investigative,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,White,White,Male,44.96986,-93.27933,-10383806.98,5616778.26,1,Loring Park,2019/02/25 08:20:38+00
113771,19-053227,2019/02/23 21:07:39+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,44.99594307,-93.24763938,-10380279.73,5620882.828,2,Marcy Holmes,2019/02/25 08:20:39+00
113772,19-053229,2019/02/23 21:08:11+00,Citizen / 9-1-1,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Black,Black,Male,44.96718068,-93.26105758,-10381773.44,5616356.235,1,Elliot Park,2019/02/25 08:20:37+00
113773,19-053231,2019/02/23 21:08:47+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,44.96002038,-93.28801715,-10384774.57,5615229.708,5,Whittier,2019/02/25 08:20:39+00
113774,19-053235,2019/02/23 21:14:51+00,,Traffic Law Enforcement (P),RPT-Report,,,,,,,44.9819,-93.23284,-10378631.88,5618672.515,2,Marcy Holmes,2019/02/25 08:20:38+00
113775,19-053243,2019/02/23 21:23:01+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,45.01037535,-93.25091411,-10380644.28,5623155.02,2,Holland,2019/02/25 08:20:39+00
113776,19-053250,2019/02/23 21:27:09+00,Moving Violation,Traffic Law Enforcement (P),BKG-Booking,YES,NO,YES,Unknown,Black,Female,44.98209,-93.26908,-10382666.86,5618701.629,1,Downtown West,2019/02/25 08:20:38+00
113777,19-053255,2019/02/23 21:30:37+00,Investigative,Suspicious Person (P),ADV-Advised,NO,YES,NO,White,White,Male,44.94837171,-93.23514707,-10378889.1,5613397.327,3,Longfellow,2019/02/25 08:20:36+00
113778,19-053258,2019/02/23 21:33:36+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Unknown,Unknown,45.01583896,-93.29433053,-10385477.37,5624015.351,4,Folwell,2019/02/25 08:20:39+00
113779,19-053259,2019/02/23 21:34:21+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,44.97949,-93.26266,-10381951.3,5618293.077,1,Downtown West,2019/02/25 08:20:38+00
113780,19-053260,2019/02/23 21:34:30+00,Investigative,Suspicious Person (P),AOK- All OK,NO,NO,NO,Unknown,White,Female,44.97694447,-93.27819736,-10383681.43,5617892.595,1,Downtown West,2019/02/25 08:20:39+00
113781,19-053261,2019/02/23 21:34:55+00,,Traffic Law Enforcement (P),ADV-Advised,,,,,,,44.98343,-93.23343,-10378698.33,5618913.487,2,Marcy Holmes,2019/02/25 08:20:38+00
113782,19-053263,2019/02/23 21:36:28+00,Citizen / 9-1-1,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.9188015,-93.2562211,-10381235.05,5608747.489,3,Northrop,2019/02/25 08:20:37+00
113783,19-053273,2019/02/23 21:47:11+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Unknown,Unknown,45.03153,-93.29578,-10385638.85,5626486.626,4,Webber - Camden,2019/02/25 08:20:38+00
113784,19-053280,2019/02/23 21:52:02+00,Moving Violation,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,44.95822357,-93.2612999,-10381800.42,5614947.039,3,Midtown Phillips,2019/02/25 08:20:37+00
113785,19-053291,2019/02/23 21:57:25+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.98422023,-93.28301113,-10384217.3,5619037.626,1,North Loop,2019/02/25 08:20:39+00
113786,19-053292,2019/02/23 21:58:35+00,Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,East African,Male,44.98291,-93.27022,-10382792.96,5618831.231,1,North Loop,2019/02/25 08:20:38+00
113787,19-053298,2019/02/23 22:04:08+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,44.98283898,-93.28226299,-10384134.02,5618820.24,1,North Loop,2019/02/25 08:20:39+00
113788,19-053302,2019/02/23 22:08:41+00,Investigative,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Unknown,Black,Male,44.96063,-93.24625,-10380124.73,5615325.209,3,Seward,2019/02/25 08:20:38+00
113789,19-053305,2019/02/23 22:09:58+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,45.00642144,-93.24736561,-10380249.26,5622532.467,2,Logan Park,2019/02/25 08:20:39+00
113790,19-053306,2019/02/23 22:10:42+00,,Traffic Law Enforcement (P),ADV-Advised,,,,,,,44.98848,-93.25496,-10381094.76,5619707.747,2,Nicollet Island - East Bank,2019/02/25 08:20:38+00
113791,19-053313,2019/02/23 22:22:19+00,,Traffic Law Enforcement (P),ADV-Advised,,,,,,,44.9915085,-93.22088389,-10377301.33,5620184.772,2,Como,2019/02/25 08:20:37+00
